x,y
59.657204,46.032295
59.73239,46.07021
59.79893,46.103054
59.839375,46.122692
59.841995,46.123955
59.84809,46.126892
59.97834,46.18834
60.062675,46.226814
60.113205,46.24939
60.13468,46.258873
60.147415,46.26447
60.1482,46.264812
60.162483,46.271057
60.170826,46.274693
60.184776,46.280754
60.21954,46.29573
60.256474,46.311462
60.296303,46.328224
60.308304,46.333233
60.347546,46.349476
60.397987,46.370056
60.40222,46.37177
60.43008,46.382977
60.43497,46.384933
60.457184,46.393784
60.53498,46.424286
60.637165,46.46319
60.64668,46.466747
60.722965,46.49486
60.723568,46.495083
60.7592,46.507973
60.830315,46.53325
60.876972,46.549515
60.90506,46.55918
60.91282,46.561836
60.975353,46.582985
61.0614,46.611374
61.066086,46.612896
61.110256,46.627132
61.12748,46.632626
61.160267,46.642998
61.176346,46.64804
61.235565,46.66638
61.24078,46.66798
61.28032,46.680004
61.323864,46.69306
61.372883,46.70753
61.384605,46.710957
61.390564,46.712692
61.57074,46.763554
61.57305,46.764187
61.616455,46.775974
61.65624,46.786625
61.71777,46.80282
61.723045,46.80419
61.838905,46.83373
61.87644,46.843052
61.88685,46.845615
62.003117,46.873657
62.00487,46.874073
62.012077,46.875774
62.014904,46.876442
62.124397,46.901768
62.25726,46.931282
62.290203,46.9384
62.297134,46.939888
62.302025,46.940937
62.307518,46.94211
62.31653,46.94403
62.359524,46.95313
62.415585,46.9648
62.42662,46.96707
62.4294,46.967644
62.431854,46.968147
62.495224,46.981018
62.5077,46.98352
62.54285,46.99052
62.643364,47.010105
62.683712,47.017796
62.731583,47.02679
62.73942,47.02825
62.7649,47.032974
62.79821,47.039093
62.820454,47.043148
62.873985,47.052788
63.017246,47.07784
63.052322,47.083813
63.114395,47.094242
63.15209,47.100487
63.201546,47.10858
63.20701,47.10947
63.234077,47.113846
63.259483,47.117928
63.281425,47.12143
63.28233,47.12157
63.283775,47.121803
63.293552,47.123356
63.339672,47.130627
63.372417,47.135735
63.39724,47.13958
63.404472,47.140697
63.405975,47.14093
63.497665,47.1549
63.55176,47.163
63.58079,47.167305
63.616543,47.172565
63.62567,47.173904
63.63017,47.17456
63.73288,47.189407
63.80892,47.200195
63.81196,47.200623
63.84976,47.205925
63.85177,47.206207
63.97435,47.223145
64.06153,47.234978
64.09157,47.239017
64.14195,47.245758
64.15521,47.24752
64.15734,47.247807
64.1899,47.25213
64.24977,47.26003
64.263336,47.261814
64.26614,47.26218
